URL de l'image,Sous-titreur,Noteur,Sous-titre de l'image,Score humain,Score CLIP,Score normalisée,DeltaScore,EcartAbsolu,,,
http://cocodataset.org/#explore?id=404917,COCO,Arthur,a baseball player throwing a baseball on a field.,1,"0,93","0,50","0,43","0,8549976061",http://cocodataset.org/#explore?id,404917,a baseball player throwing a baseball on a field.;a baseball game;a boy has broken a window with his baseball thrown
http://cocodataset.org/#explore?id=404917,Conrad,Arthur,a baseball game,"0,9","0,07","0,45","-0,38",,,,
http://cocodataset.org/#explore?id=404917,Conrad,Arthur,a boy has broken a window with his baseball thrown,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=13176,COCO,Aymeric,a man bending to look into a small fridge,"0,93","0,80","0,55","0,25","0,4913856731",http://cocodataset.org/#explore?id,13176,a man bending to look into a small fridge;a man near a fridge;an octopus in the bottom of a hole
http://cocodataset.org/#explore?id=13176,Léo,Aymeric,a man near a fridge,"0,75","0,20","0,45","-0,25",,,,
http://cocodataset.org/#explore?id=13176,Léo,Aymeric,an octopus in the bottom of a hole,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=230227,COCO,Conrad,a cat sitting on a table with a blurred image in the background,1,"0,96","0,59","0,37","0,7471722793",http://cocodataset.org/#explore?id,230227,a cat sitting on a table with a blurred image in the background;a cat;a dancer and an accordion
http://cocodataset.org/#explore?id=230227,Léo,Conrad,a cat,"0,7","0,04","0,41","-0,37",,,,
http://cocodataset.org/#explore?id=230227,Léo,Conrad,a dancer and an accordion,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=122355,COCO,Arthur,four people smiling with tennis rackets in their hands,1,"0,99","0,56","0,44","0,8709671197",http://cocodataset.org/#explore?id,122355,four people smiling with tennis rackets in their hands;people playing tennis;a snowman inside a dark forest
http://cocodataset.org/#explore?id=122355,Léo,Arthur,people playing tennis,"0,8","0,01","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=122355,Léo,Arthur,a snowman inside a dark forest,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=359143,COCO,Aymeric,a blurry photo of a cyclist on a forest path,"0,96","1,00","0,56","0,44","0,876791556",http://cocodataset.org/#explore?id,359143,a blurry photo of a cyclist on a forest path;a man on a bicycle;the olympic games of tokyo
http://cocodataset.org/#explore?id=359143,Léo,Aymeric,a man on a bicycle,"0,75","0,00","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=359143,Léo,Aymeric,the olympic games of tokyo,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=135288,COCO,Conrad,a young man holding a plate and eating a piece of cake,1,"0,57","0,53","0,05","0,09142426292",http://cocodataset.org/#explore?id,135288,a young man holding a plate and eating a piece of cake;a man eating a cake;two daughters on the ground
http://cocodataset.org/#explore?id=135288,Léo,Conrad,a man eating a cake,"0,9","0,43","0,47","-0,05",,,,
http://cocodataset.org/#explore?id=135288,Léo,Conrad,two daughters on the ground,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=273029,COCO,Arthur,a piece of pizza with many topping on it,"0,9","0,23","0,50","-0,27","0,5488264413",http://cocodataset.org/#explore?id,273029,a piece of pizza with many topping on it;a beautiful pizza;an empty field in the setting sun
http://cocodataset.org/#explore?id=273029,Léo,Arthur,a beautiful pizza,"0,9","0,77","0,50","0,27",,,,
http://cocodataset.org/#explore?id=273029,Léo,Arthur,an empty field in the setting sun,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=185633,COCO,Aymeric,an old bathroom with peeling paint on the walls and lots of toiletries scattered around,"0,9","0,99","0,62","0,37","0,7368907149",http://cocodataset.org/#explore?id,185633,an old bathroom with peeling paint on the walls and lots of toiletries scattered around;an ugly bathroom;the kitchen of an asiatic restaurant
http://cocodataset.org/#explore?id=185633,Léo,Aymeric,an ugly bathroom,"0,5","0,01","0,34","-0,33",,,,
http://cocodataset.org/#explore?id=185633,Léo,Aymeric,the kitchen of an asiatic restaurant,"0,05","0,00","0,03","-0,03",,,,
http://cocodataset.org/#explore?id=270222,COCO,Conrad,several small clocks are all connected with human-like ornaments,1,"0,94","0,53","0,42","0,8344045459",http://cocodataset.org/#explore?id,270222,several small clocks are all connected with human-like ornaments;different clocks on the wall;three ladies looking at burning trees
http://cocodataset.org/#explore?id=270222,Léo,Conrad,different clocks on the wall,"0,8","0,06","0,42","-0,36",,,,
http://cocodataset.org/#explore?id=270222,Léo,Conrad,three ladies looking at burning trees,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=439868,COCO,Arthur,a skateboarder is jumping onto a rail near crowd,"0,9","0,90","0,47","0,43","0,8501131737",http://cocodataset.org/#explore?id,439868,a skateboarder is jumping onto a rail near crowd;people looking at a skateboarder;a crowd focused on chess players
http://cocodataset.org/#explore?id=439868,Léo,Arthur,people looking at a skateboarder,"0,9","0,10","0,47","-0,37",,,,
http://cocodataset.org/#explore?id=439868,Léo,Arthur,a crowd focused on chess players,"0,1","0,00","0,05","-0,05",,,,
http://cocodataset.org/#explore?id=424174,COCO,Aymeric,a tray heaped with fruit including banans apples oranges and limes,"0,95","0,74","0,53","0,21","0,4193885295",http://cocodataset.org/#explore?id,424174,a tray heaped with fruit including banans apples oranges and limes;a bunch of fruits;an ancient beautiful table and painting on the walls
http://cocodataset.org/#explore?id=424174,Léo,Aymeric,a bunch of fruits,"0,75","0,26","0,42","-0,15",,,,
http://cocodataset.org/#explore?id=424174,Léo,Aymeric,an ancient beautiful table and painting on the walls,"0,1","0,00","0,06","-0,06",,,,
http://cocodataset.org/#explore?id=344720,COCO,Conrad,several cars at an intersection on a city stree,"0,9","0,39","0,64","-0,25","0,5079420547",http://cocodataset.org/#explore?id,344720,several cars at an intersection on a city stree;cars near buildings;little red riding hood
http://cocodataset.org/#explore?id=344720,Léo,Conrad,cars near buildings,"0,5","0,61","0,36","0,25",,,,
http://cocodataset.org/#explore?id=344720,Léo,Conrad,little red riding hood,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=292782,COCO,Arthur,a group of people flying their kites on a sunny day,"0,9","0,94","0,53","0,41","0,813047235",http://cocodataset.org/#explore?id,292782,a group of people flying their kites on a sunny day;kites in the sky;an old lady eating jam
http://cocodataset.org/#explore?id=292782,Léo,Arthur,kites in the sky,"0,8","0,06","0,47","-0,41",,,,
http://cocodataset.org/#explore?id=292782,Léo,Arthur,an old lady eating jam,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=102765,COCO,Aymeric,two young girls sitting on their luggage outside of a brick building,"0,75","0,84","0,60","0,24","0,4771079463",http://cocodataset.org/#explore?id,102765,two young girls sitting on their luggage outside of a brick building;ladies with their luggage;a super-hero fighting bad guys
http://cocodataset.org/#explore?id=102765,Léo,Aymeric,ladies with their luggage,"0,5","0,16","0,40","-0,24",,,,
http://cocodataset.org/#explore?id=102765,Léo,Aymeric,a super-hero fighting bad guys,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=484149,COCO,Conrad,a field of yellow grass with sheep grazing and standing throughout the areas,1,"0,75","0,59","0,16","0,3226784172",http://cocodataset.org/#explore?id,484149,a field of yellow grass with sheep grazing and standing throughout the areas;sheep grazing;a bunch of flying cows
http://cocodataset.org/#explore?id=484149,Léo,Conrad,sheep grazing,"0,7","0,25","0,41","-0,16",,,,
http://cocodataset.org/#explore?id=484149,Léo,Conrad,a bunch of flying cows,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=27593,COCO,Arthur,a man flying through the air on top of a skateboard,"0,9","0,78","0,47","0,30","0,6093875703",http://cocodataset.org/#explore?id,27593,a man flying through the air on top of a skateboard;a skateboard in the airs;a bed covered in packets of crisps
http://cocodataset.org/#explore?id=27593,Léo,Arthur,a skateboard in the airs,1,"0,22","0,53","-0,30",,,,
http://cocodataset.org/#explore?id=27593,Léo,Arthur,a bed covered in packets of crisps,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=266165,COCO,Aymeric,a cat standing in one food dish while eating out of another dish,"0,97","0,90","0,55","0,35","0,7008789722",http://cocodataset.org/#explore?id,266165,a cat standing in one food dish while eating out of another dish;a cat eating food;an open window that allows to see the garden
http://cocodataset.org/#explore?id=266165,Léo,Aymeric,a cat eating food,"0,8","0,10","0,45","-0,35",,,,
http://cocodataset.org/#explore?id=266165,Léo,Aymeric,an open window that allows to see the garden,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=125070,COCO,Conrad,a blue clock pole outside an older building,1,"0,63","0,56","0,07","0,1412059135",http://cocodataset.org/#explore?id,125070,a blue clock pole outside an older building;a clock in the street;two gentlement arguing near a stop sign
http://cocodataset.org/#explore?id=125070,Léo,Conrad,a clock in the street,"0,8","0,37","0,44","-0,07",,,,
http://cocodataset.org/#explore?id=125070,Léo,Conrad,two gentlement arguing near a stop sign,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=78771,COCO,Arthur,a cat sitting next to a laptop computer on a table,1,"0,56","0,59","-0,03","0,05054792678",http://cocodataset.org/#explore?id,78771,a cat sitting next to a laptop computer on a table;a cat on a computer;a baby crying in the grass
http://cocodataset.org/#explore?id=78771,Léo,Arthur,a cat on a computer,"0,7","0,44","0,41","0,03",,,,
http://cocodataset.org/#explore?id=78771,Léo,Arthur,a baby crying in the grass,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=291606,COCO,Aymeric,a woman standing outside of a bus with asian characters written on it,"0,88","0,99","0,59","0,40","0,7953749563",http://cocodataset.org/#explore?id,291606,a woman standing outside of a bus with asian characters written on it;a bus in Asia;the great pyramids of egypt
http://cocodataset.org/#explore?id=291606,Léo,Aymeric,a bus in Asia,"0,6","0,01","0,41","-0,40",,,,
http://cocodataset.org/#explore?id=291606,Léo,Aymeric,the great pyramids of egypt,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=423116,COCO,Conrad,"on a kitchen counter are a laptop, candy, and cooking supplies",1,"0,99","0,63","0,37","0,7335190757",http://cocodataset.org/#explore?id,423116,"on a kitchen counter are a laptop, candy, and cooking supplies;the table of a kitchen with a latpot on it;a sky filled with planes"
http://cocodataset.org/#explore?id=423116,Léo,Conrad,the table of a kitchen with a latpot on it,"0,6","0,01","0,38","-0,37",,,,
http://cocodataset.org/#explore?id=423116,Léo,Conrad,a sky filled with planes,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=405762,COCO,Arthur,a man is running while carrying a football,1,"0,07","0,47","-0,40","0,9373574254",http://cocodataset.org/#explore?id,405762,a man is running while carrying a football;a man playing football;a postman with red hair in the street
http://cocodataset.org/#explore?id=405762,Léo,Arthur,a man playing football,1,"0,93","0,47","0,47",,,,
http://cocodataset.org/#explore?id=405762,Léo,Arthur,a postman with red hair in the street,"0,15","0,00","0,07","-0,07",,,,
http://cocodataset.org/#explore?id=41001,COCO,Aymeric,two adult elephants and one baby elephant walking in a grassy area,"0,97","0,96","0,55","0,41","0,8236850968",http://cocodataset.org/#explore?id,41001,two adult elephants and one baby elephant walking in a grassy area;elephants in the Savannah;A blue cow eating milk
http://cocodataset.org/#explore?id=41001,Léo,Aymeric,elephants in the Savannah,"0,75","0,04","0,42","-0,38",,,,
http://cocodataset.org/#explore?id=41001,Léo,Aymeric,A blue cow eating milk,"0,05","0,00","0,03","-0,03",,,,
http://cocodataset.org/#explore?id=201925,COCO,Conrad,something baking in a pan in the oven and rising out of the pan,1,"0,25","0,53","-0,28","0,5566858949",http://cocodataset.org/#explore?id,201925,something baking in a pan in the oven and rising out of the pan;a baking cake;the painting of a wedding
http://cocodataset.org/#explore?id=201925,Léo,Conrad,a baking cake,"0,9","0,75","0,47","0,28",,,,
http://cocodataset.org/#explore?id=201925,Léo,Conrad,the painting of a wedding,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=380734,COCO,Arthur,several diners eating at a riverside outdoor restaurant,1,"0,99","0,53","0,46","0,9230139331",http://cocodataset.org/#explore?id,380734,several diners eating at a riverside outdoor restaurant;people having dinner in the street;two wolves howling in the snow
http://cocodataset.org/#explore?id=380734,Léo,Arthur,people having dinner in the street,"0,9","0,01","0,47","-0,46",,,,
http://cocodataset.org/#explore?id=380734,Léo,Arthur,two wolves howling in the snow,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=487462,COCO,Aymeric,a boy is preparing to toss a frisbie while another boy is sitting in the background in a park,"0,95","0,11","0,56","-0,45","0,8919750012",http://cocodataset.org/#explore?id,487462,a boy is preparing to toss a frisbie while another boy is sitting in the background in a park;a man playing frisbie;a nice looking icecream
http://cocodataset.org/#explore?id=487462,Léo,Aymeric,a man playing frisbie,"0,75","0,89","0,44","0,45",,,,
http://cocodataset.org/#explore?id=487462,Léo,Aymeric,a nice looking icecream,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=455776,COCO,Conrad,a young boy is preparing to catch a baseball.,1,"0,97","0,56","0,41","0,8196451694",http://cocodataset.org/#explore?id,455776,a young boy is preparing to catch a baseball.;A human trying to catch a ball;A bottle of wine in a grey field
http://cocodataset.org/#explore?id=455776,Aymeric,Conrad,A human trying to catch a ball,"0,8","0,03","0,44","-0,41",,,,
http://cocodataset.org/#explore?id=455776,Aymeric,Conrad,A bottle of wine in a grey field,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=440895,COCO,Arthur,a white horse can be seen in the window of a brick building.,1,"1,00","0,91","0,09","0,1816575428",http://cocodataset.org/#explore?id,440895,a white horse can be seen in the window of a brick building.;A black horse in a modern town;French fries playing tennis in a brown field
http://cocodataset.org/#explore?id=440895,Aymeric,Arthur,A black horse in a modern town,"0,1","0,00","0,09","-0,09",,,,
http://cocodataset.org/#explore?id=440895,Aymeric,Arthur,French fries playing tennis in a brown field,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=55627,COCO,Léo,"a bathroom with a mirror above the sink, a towel rack and toilet.",1,"0,96","0,56","0,41","0,8114712594",http://cocodataset.org/#explore?id,55627,"a bathroom with a mirror above the sink, a towel rack and toilet.;A bathroom with a sink;Picture of a garden full of flowers"
http://cocodataset.org/#explore?id=55627,Aymeric,Léo,A bathroom with a sink,"0,8","0,04","0,44","-0,41",,,,
http://cocodataset.org/#explore?id=55627,Aymeric,Léo,Picture of a garden full of flowers,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=436111,COCO,Conrad,a white bathroom has dirt all over the floor.,1,"0,99","0,71","0,28","0,5563624223",http://cocodataset.org/#explore?id,436111,a white bathroom has dirt all over the floor.;photograph of a room in low angle;painting of trees 
http://cocodataset.org/#explore?id=436111,Aymeric,Conrad,photograph of a room in low angle,"0,4","0,01","0,29","-0,28",,,,
http://cocodataset.org/#explore?id=436111,Aymeric,Conrad,painting of trees ,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=492286,COCO,Arthur,a big train is about to leave and go away.,"0,7","0,79","0,45","0,34","0,6827712435",http://cocodataset.org/#explore?id,492286,a big train is about to leave and go away.;A vehicle with people next to it;A tall person standing in front of a door
http://cocodataset.org/#explore?id=492286,Aymeric,Arthur,A vehicle with people next to it,"0,8","0,19","0,52","-0,33",,,,
http://cocodataset.org/#explore?id=492286,Aymeric,Arthur,A tall person standing in front of a door,"0,05","0,02","0,03","-0,02",,,,
http://cocodataset.org/#explore?id=149892,COCO,Léo,a bench and chair are seen on the bank of a river.,"0,9","0,96","0,75","0,21","0,4236339911",http://cocodataset.org/#explore?id,149892,a bench and chair are seen on the bank of a river.;People sitting next to a river;The floor is lava
http://cocodataset.org/#explore?id=149892,Aymeric,Léo,People sitting next to a river,"0,3","0,04","0,25","-0,21",,,,
http://cocodataset.org/#explore?id=149892,Aymeric,Léo,The floor is lava,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=493196,COCO,Conrad,a man with helmet skating past some bicycle riders on the road,1,"1,00","0,67","0,33","0,6610735496",http://cocodataset.org/#explore?id,493196,a man with helmet skating past some bicycle riders on the road;Bicycle riders under trees;A yellow road with two dogs 
http://cocodataset.org/#explore?id=493196,Aymeric,Conrad,Bicycle riders under trees,"0,5","0,00","0,33","-0,33",,,,
http://cocodataset.org/#explore?id=493196,Aymeric,Conrad,A yellow road with two dogs ,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=182575,COCO,Arthur,this is a plate of broccoli and cauliflower,"0,9","0,94","0,75","0,19","0,37931814",http://cocodataset.org/#explore?id,182575,this is a plate of broccoli and cauliflower;A plate of pasta;Three tables and a spoon 
http://cocodataset.org/#explore?id=182575,Aymeric,Arthur,A plate of pasta,"0,2","0,03","0,17","-0,14",,,,
http://cocodataset.org/#explore?id=182575,Aymeric,Arthur,Three tables and a spoon ,"0,1","0,03","0,08","-0,05",,,,
http://cocodataset.org/#explore?id=203559,COCO,Léo,a man is inspecting a baby elephants eye,1,"0,97","0,63","0,34","0,6889287016",http://cocodataset.org/#explore?id,203559,a man is inspecting a baby elephants eye;Three elephants around a man;A black and blue dress
http://cocodataset.org/#explore?id=203559,Aymeric,Léo,Three elephants around a man,"0,6","0,03","0,38","-0,34",,,,
http://cocodataset.org/#explore?id=203559,Aymeric,Léo,A black and blue dress,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=519950,COCO,Conrad,a man is in mid air over a tennis court.,1,"0,99","0,59","0,41","0,8117086456",http://cocodataset.org/#explore?id,519950,a man is in mid air over a tennis court.;A man jumping in a pool to hit a ball;A dog playing with his owner
http://cocodataset.org/#explore?id=519950,Aymeric,Conrad,A man jumping in a pool to hit a ball,"0,7","0,01","0,41","-0,41",,,,
http://cocodataset.org/#explore?id=519950,Aymeric,Conrad,A dog playing with his owner,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=27276,COCO,Arthur,a dog is under the bed eating a box,1,"1,00","0,91","0,09","0,1817311527",http://cocodataset.org/#explore?id,27276,a dog is under the bed eating a box;a cat hiding is a small place;A blue and white rollercoaster 
http://cocodataset.org/#explore?id=27276,Aymeric,Arthur,a cat hiding is a small place,"0,1","0,00","0,09","-0,09",,,,
http://cocodataset.org/#explore?id=27276,Aymeric,Arthur,A blue and white rollercoaster ,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=108425,COCO,Léo,a man tossing a neon green frisbee in front of a house,1,"1,00","0,50","0,50","0,9999901939",http://cocodataset.org/#explore?id,108425,a man tossing a neon green frisbee in front of a house;A nice building with two tables and a chair ;Some grass in a grey background
http://cocodataset.org/#explore?id=108425,Aymeric,Léo,A nice building with two tables and a chair ,"0,7","0,00","0,35","-0,35",,,,
http://cocodataset.org/#explore?id=108425,Aymeric,Léo,Some grass in a grey background,"0,3","0,00","0,15","-0,15",,,,
http://cocodataset.org/#explore?id=158713,COCO,Conrad,a man who is driving a motorcycle pulling a cart with two people.,1,"1,00","0,56","0,44","0,8801574189",http://cocodataset.org/#explore?id,158713,a man who is driving a motorcycle pulling a cart with two people.;Photograph of a red motorcycle and a white trailer;Three people walking in circles
http://cocodataset.org/#explore?id=158713,Aymeric,Conrad,Photograph of a red motorcycle and a white trailer,"0,7","0,00","0,39","-0,39",,,,
http://cocodataset.org/#explore?id=158713,Aymeric,Conrad,Three people walking in circles,"0,1","0,00","0,06","-0,05",,,,
http://cocodataset.org/#explore?id=5701,COCO,Arthur,a person standing on a small paved square and holding a yellow frisbee,1,"0,94","0,48","0,46","0,9295467489",http://cocodataset.org/#explore?id,5701,a person standing on a small paved square and holding a yellow frisbee;A yellow shirt and a yellow frisbee with a green background;The sun shines and the place is beautiful 
http://cocodataset.org/#explore?id=5701,Aymeric,Arthur,A yellow shirt and a yellow frisbee with a green background,"0,8","0,06","0,38","-0,32",,,,
http://cocodataset.org/#explore?id=5701,Aymeric,Arthur,The sun shines and the place is beautiful ,"0,3","0,00","0,14","-0,14",,,,
http://cocodataset.org/#explore?id=254994,COCO,Léo,a man holding a drinking glass and smiling.,"0,9","0,98","0,56","0,42","0,8425819881",http://cocodataset.org/#explore?id,254994,a man holding a drinking glass and smiling.;A person with a black tie ;Photograph of a sad dog drinking coffee 
http://cocodataset.org/#explore?id=254994,Aymeric,Léo,A person with a black tie ,"0,6","0,02","0,38","-0,36",,,,
http://cocodataset.org/#explore?id=254994,Aymeric,Léo,Photograph of a sad dog drinking coffee ,"0,1","0,00","0,06","-0,06",,,,
http://cocodataset.org/#explore?id=256799,COCO,Conrad,a chandelier sitting above a spiral stair case.,1,"0,08","0,56","-0,48","0,9571850406",http://cocodataset.org/#explore?id,256799,a chandelier sitting above a spiral stair case.;a chandelier and a clock in a very big room with stairs;Two people taking a nap
http://cocodataset.org/#explore?id=256799,Aymeric,Conrad,a chandelier and a clock in a very big room with stairs,"0,8","0,92","0,44","0,48",,,,
http://cocodataset.org/#explore?id=256799,Aymeric,Conrad,Two people taking a nap,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=524981,COCO,Arthur,a dog sitting on a boat behind the sail.,1,"0,70","0,67","0,04","0,0751569968",http://cocodataset.org/#explore?id,524981,"a dog sitting on a boat behind the sail.;An engine, a dog and a sail in water;Bowling pins going down a slide"
http://cocodataset.org/#explore?id=524981,Aymeric,Arthur,"An engine, a dog and a sail in water","0,5","0,30","0,33","-0,04",,,,
http://cocodataset.org/#explore?id=524981,Aymeric,Arthur,Bowling pins going down a slide,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=509839,COCO,Léo,a public bathroom that is empty and not in use.,1,"0,83","0,56","0,28","0,5572179989",http://cocodataset.org/#explore?id,509839,a public bathroom that is empty and not in use.;Three sinks in a green room;Two beds in a room
http://cocodataset.org/#explore?id=509839,Aymeric,Léo,Three sinks in a green room,"0,7","0,16","0,39","-0,22",,,,
http://cocodataset.org/#explore?id=509839,Aymeric,Léo,Two beds in a room,"0,1","0,00","0,06","-0,05",,,,
http://cocodataset.org/#explore?id=194120,COCO,Conrad,a cat sitting on a windowsill next to a painted pumpkin.,1,"1,00","0,71","0,29","0,5700253325",http://cocodataset.org/#explore?id,194120,a cat sitting on a windowsill next to a painted pumpkin.;A cat lying on its back eats a pumpkin ;A banana filled with orange jelly 
http://cocodataset.org/#explore?id=194120,Aymeric,Conrad,A cat lying on its back eats a pumpkin ,"0,4","0,00","0,29","-0,29",,,,
http://cocodataset.org/#explore?id=194120,Aymeric,Conrad,A banana filled with orange jelly ,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=197329,COCO,Arthur,some zebras and a giraffe tall brown grass and trees,1,"0,61","0,50","0,11","0,2127557698",http://cocodataset.org/#explore?id,197329,"some zebras and a giraffe tall brown grass and trees;A desert, dry grass and savannah animals;pikachu uses his thunder attack"
http://cocodataset.org/#explore?id=197329,Aymeric,Arthur,"A desert, dry grass and savannah animals",1,"0,39","0,50","-0,11",,,,
http://cocodataset.org/#explore?id=197329,Aymeric,Arthur,pikachu uses his thunder attack,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=432637,COCO,Léo,a group of people riding a carousel with trees in the background.,"0,8","0,92","0,67","0,25","0,5046916582",http://cocodataset.org/#explore?id,432637,a group of people riding a carousel with trees in the background.;People having fun on horses;many candlelit sticks
http://cocodataset.org/#explore?id=432637,Aymeric,Léo,People having fun on horses,"0,4","0,08","0,33","-0,25",,,,
http://cocodataset.org/#explore?id=432637,Aymeric,Léo,many candlelit sticks,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=298014,COCO,Conrad,a large architectural structure near a park,1,"0,09","0,43","-0,35","0,7454578361",http://cocodataset.org/#explore?id,298014,a large architectural structure near a park;a traffic light on a city side walk with people;lighted street lamps
http://cocodataset.org/#explore?id=298014,Aymeric,Conrad,a traffic light on a city side walk with people,"0,8","0,72","0,35","0,37",,,,
http://cocodataset.org/#explore?id=298014,Aymeric,Conrad,lighted street lamps,"0,5","0,19","0,22","-0,02",,,,
http://cocodataset.org/#explore?id=250225,COCO,Arthur,a display of fruit print dishes in a store,1,"1,00","0,83","0,17","0,3326895141",http://cocodataset.org/#explore?id,250225,a display of fruit print dishes in a store;Fruits and vegetables in a store;beef steaks spread on the floor
http://cocodataset.org/#explore?id=250225,Aymeric,Arthur,Fruits and vegetables in a store,"0,2","0,00","0,17","-0,17",,,,
http://cocodataset.org/#explore?id=250225,Aymeric,Arthur,beef steaks spread on the floor,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=484457,COCO,Léo,a large stack of square shaped cakes sitting on a lit table.,"0,9","0,84","0,60","0,24","0,4868236481",http://cocodataset.org/#explore?id,484457,a large stack of square shaped cakes sitting on a lit table.;Two tables and a cake;black sculptures in the shape of chocolate bars
http://cocodataset.org/#explore?id=484457,Aymeric,Léo,Two tables and a cake,"0,6","0,16","0,40","-0,24",,,,
http://cocodataset.org/#explore?id=484457,Aymeric,Léo,black sculptures in the shape of chocolate bars,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=541039,COCO,Conrad,a group of people holding umbrellas standing behind a sign for a umbrella drive.,1,"1,00","0,53","0,47","0,9469849519",http://cocodataset.org/#explore?id,541039,a group of people holding umbrellas standing behind a sign for a umbrella drive.;smiling black people who say thank you;Birthday gifts in a box
http://cocodataset.org/#explore?id=541039,Aymeric,Conrad,smiling black people who say thank you,"0,9","0,00","0,47","-0,47",,,,
http://cocodataset.org/#explore?id=541039,Aymeric,Conrad,Birthday gifts in a box,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=423313,COCO,Arthur,a group of motorcycles parked in front of a building.,"0,9","1,00","0,56","0,44","0,8748727125",http://cocodataset.org/#explore?id,423313,a group of motorcycles parked in front of a building.;Mortorcyles hiding small stores;sunflowers looking towards the sun
http://cocodataset.org/#explore?id=423313,Aymeric,Arthur,Mortorcyles hiding small stores,"0,7","0,00","0,44","-0,44",,,,
http://cocodataset.org/#explore?id=423313,Aymeric,Arthur,sunflowers looking towards the sun,0,"0,00","0,00","0,00",,,,